Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
150,1025x1025,7239,5075
151,1025x1025,7170,5004
152,1025x1025,7272,5049
153,1025x1025,7221,5108
154,1025x1025,7214,5113
155,1025x1025,7239,5085
156,1025x1025,7150,5043
157,1025x1025,7142,5036
158,1025x1025,7104,5038
159,1025x1025,7111,5037
160,1025x1025,7113,5039
161,1025x1025,7125,5044
162,1025x1025,7119,5035
163,1025x1025,7159,5046
164,1025x1025,7114,5038
165,1025x1025,7121,5053
166,1025x1025,7133,5042
167,1025x1025,7138,5038
168,1025x1025,7113,5036
169,1025x1025,7133,5038
170,1025x1025,7139,5038
171,1025x1025,7119,5038
172,1025x1025,7119,5037
173,1025x1025,7134,5042
174,1025x1025,7130,5039
175,1025x1025,7122,5041
176,1025x1025,7138,5039
177,1025x1025,7131,5033
178,1025x1025,7128,5037
179,1025x1025,7150,5042
180,1025x1025,7343,5116
181,1025x1025,7240,5082
182,1025x1025,7317,5078
183,1025x1025,7213,5097
184,1025x1025,7173,5085
185,1025x1025,7297,5196
186,1025x1025,7393,5112
187,1025x1025,7347,5046
188,1025x1025,7161,5051
189,1025x1025,7142,5016
190,1025x1025,7211,5034
191,1025x1025,7091,4995
192,1025x1025,7099,5002
193,1025x1025,7228,5028
194,1025x1025,7183,5052
195,1025x1025,7241,5049
196,1025x1025,7229,5005
197,1025x1025,7386,5000
198,1025x1025,7198,5034
199,1025x1025,7095,4965
